dataset,strategy,requested_model_a,requested_model_b,n_overlap,acc_a,acc_b,n01_a0_b1,n10_a1_b0,mcnemar_stat,p_value
arc_challenge,cot,gemma_4_26b_a4b,gemma_4_e2b,500,0.858,0.766,50,96,13.86986301369863,0.00017503283959185268
arc_challenge,cot,gemma_4_26b_a4b,gemma_4_e4b,500,0.858,0.878,49,39,0.9204545454545454,0.3373990368531191
arc_challenge,cot,gemma_4_26b_a4b,phi_4_mini_reasoning,500,0.858,0.248,7,312,289.705329153605,1.195555060133013e-82
arc_challenge,cot,gemma_4_26b_a4b,phi_4_reasoning,500,0.858,0.268,6,301,281.5504885993485,8.662771140370828e-81
arc_challenge,cot,gemma_4_26b_a4b,qwen3_30b_a3b,500,0.858,0.372,11,254,220.99622641509433,3.238520165395143e-61
arc_challenge,cot,gemma_4_26b_a4b,qwen3_8b,500,0.858,0.312,7,280,257.7839721254355,2.4381387695220484e-73
arc_challenge,cot,gemma_4_e2b,gemma_4_e4b,500,0.766,0.878,77,21,30.867346938775512,1.089254500962819e-08
arc_challenge,cot,gemma_4_e2b,phi_4_mini_reasoning,500,0.766,0.248,36,295,201.09969788519638,1.0036641728450752e-51
arc_challenge,cot,gemma_4_e2b,phi_4_reasoning,500,0.766,0.268,40,289,186.94224924012158,1.0690332965155871e-47
arc_challenge,cot,gemma_4_e2b,qwen3_30b_a3b,500,0.766,0.372,47,244,132.01374570446737,2.9967891301427754e-33
arc_challenge,cot,gemma_4_e2b,qwen3_8b,500,0.766,0.312,44,271,162.14603174603175,4.842144861962719e-41
arc_challenge,cot,gemma_4_e4b,phi_4_mini_reasoning,500,0.878,0.248,12,327,290.84365781710915,7.320294392229137e-81
arc_challenge,cot,gemma_4_e4b,phi_4_reasoning,500,0.878,0.268,13,318,279.202416918429,3.4509427791658014e-77
arc_challenge,cot,gemma_4_e4b,qwen3_30b_a3b,500,0.878,0.372,17,270,221.26829268292684,9.0469301659899e-60
arc_challenge,cot,gemma_4_e4b,qwen3_8b,500,0.878,0.312,13,296,257.3592233009709,5.836742478103973e-71
arc_challenge,cot,phi_4_mini_reasoning,phi_4_reasoning,500,0.248,0.268,19,9,2.892857142857143,0.08715855330228806
arc_challenge,cot,phi_4_mini_reasoning,qwen3_30b_a3b,500,0.248,0.372,67,5,51.68055555555556,6.387730835678276e-15
arc_challenge,cot,phi_4_mini_reasoning,qwen3_8b,500,0.248,0.312,41,9,19.22,5.614100093254137e-06
arc_challenge,cot,phi_4_reasoning,qwen3_30b_a3b,500,0.268,0.372,62,10,36.125,2.6890686575861277e-10
arc_challenge,cot,phi_4_reasoning,qwen3_8b,500,0.268,0.312,34,12,9.58695652173913,0.0016414913408482334
arc_challenge,cot,qwen3_30b_a3b,qwen3_8b,500,0.372,0.312,15,45,14.016666666666667,0.00013451408092849532
arc_challenge,few_shot_cot,gemma_4_26b_a4b,gemma_4_e2b,500,0.912,0.73,22,113,60.0,6.086034249619751e-16
arc_challenge,few_shot_cot,gemma_4_26b_a4b,gemma_4_e4b,500,0.912,0.884,25,39,2.640625,0.10342187831608089
arc_challenge,few_shot_cot,gemma_4_26b_a4b,phi_4_mini_reasoning,500,0.912,0.27,4,325,311.2462006079027,8.874220234594093e-91
arc_challenge,few_shot_cot,gemma_4_26b_a4b,phi_4_reasoning,500,0.912,0.246,3,336,325.14454277286137,1.1596535761814097e-95
