model,strategy,submitted_rank,submitted_weighted_acc,extended_rank,extended_weighted_acc,delta_extended_minus_submitted
gemma_4_26b_a4b,zero_shot,1,0.7941176470588234,1,0.7835831932773111,-0.010534453781512298
gemma_4_e4b,few_shot_cot,2,0.7609243697478991,2,0.754183193277311,-0.006741176470588139
gemma_4_e4b,cot,3,0.7588235294117647,3,0.7524201680672269,-0.0064033613445377835
gemma_4_e4b,zero_shot,4,0.7584033613445378,4,0.7522756302521009,-0.006127731092436917
gemma_4_26b_a4b,cot,5,0.7563025210084033,5,0.7410571428571429,-0.01524537815126048
qwen3_8b,few_shot_cot,6,0.7222689075630252,6,0.7203781512605043,-0.0018907563025208907
gemma_4_26b_a4b,few_shot_cot,7,0.7096638655462184,7,0.7094285714285714,-0.00023529411764700026
qwen3_30b_a3b,few_shot_cot,8,0.7008403361344538,9,0.6782941176470589,-0.02254621848739491
gemma_4_e2b,few_shot_cot,9,0.6878151260504202,8,0.6917226890756302,0.0039075630252100035
gemma_4_e2b,zero_shot,10,0.6714285714285715,10,0.6618941176470589,-0.00953445378151263
qwen3_30b_a3b,zero_shot,11,0.669327731092437,11,0.6568521008403362,-0.012475630252100856
gemma_4_e2b,cot,12,0.657983193277311,12,0.6457495798319328,-0.01223361344537821
qwen3_30b_a3b,cot,13,0.6529411764705882,13,0.6389680672268908,-0.013973109243697435
qwen3_8b,zero_shot,14,0.5668067226890756,14,0.546764705882353,-0.020042016806722573
qwen3_8b,cot,15,0.5659663865546218,15,0.5461697478991597,-0.019796638655462107
phi_4_mini_reasoning,few_shot_cot,16,0.3978991596638656,16,0.3942268907563026,-0.0036722689075630033
phi_4_mini_reasoning,cot,17,0.3029411764705882,17,0.28680672268907564,-0.01613445378151257
phi_4_mini_reasoning,zero_shot,18,0.29705882352941176,18,0.2806302521008403,-0.01642857142857146
phi_4_reasoning,zero_shot,19,0.18823529411764706,19,0.17854453781512608,-0.009690756302520975
phi_4_reasoning,few_shot_cot,20,0.1726890756302521,20,0.1652235294117647,-0.007465546218487384
phi_4_reasoning,cot,21,0.16554621848739498,21,0.16478151260504204,-0.0007647058823529451
