model,dataset,strategy,n,accuracy,share_has_hash,share_has_think_tags,mean_response_chars,median_response_chars,share_hit_token_cap
gemma_4_26b_a4b,gsm8k,cot,500,0.758,1.0,0.0,920.108,489.5,0.114
gemma_4_26b_a4b,gsm8k,zero_shot,500,0.78,1.0,0.0,679.754,239.5,0.156
gemma_4_26b_a4b,math_l1_l3,cot,238,0.6470588235294118,0.9957983193277311,0.0,1002.1512605042017,653.5,0.0546218487394958
gemma_4_26b_a4b,math_l1_l3,zero_shot,238,0.6932773109243697,0.9957983193277311,0.0,835.4663865546219,442.0,0.058823529411764705
gemma_4_e2b,gsm8k,cot,500,0.664,1.0,0.0,477.942,396.0,0.002
gemma_4_e2b,gsm8k,few_shot_cot,500,0.73,1.0,0.0,411.44,333.0,0.002
gemma_4_e2b,gsm8k,zero_shot,500,0.678,1.0,0.0,403.102,356.0,0.002
gemma_4_e2b,math_l1_l3,cot,238,0.592436974789916,0.9831932773109243,0.0,877.7983193277311,562.5,0.046218487394957986
gemma_4_e2b,math_l1_l3,few_shot_cot,238,0.6890756302521008,0.9873949579831933,0.0,684.844537815126,406.5,0.01680672268907563
gemma_4_e2b,math_l1_l3,zero_shot,238,0.6302521008403361,0.9789915966386554,0.0,932.0504201680673,558.5,0.06722689075630252
gemma_4_e4b,gsm8k,cot,500,0.79,1.0,0.0,343.54,304.5,0.012
gemma_4_e4b,gsm8k,few_shot_cot,500,0.74,1.0,0.0,309.3,267.0,0.08
gemma_4_e4b,gsm8k,zero_shot,500,0.778,1.0,0.0,314.436,274.0,0.014
gemma_4_e4b,math_l1_l3,cot,238,0.6680672268907563,1.0,0.0,637.155462184874,420.0,0.04201680672268908
gemma_4_e4b,math_l1_l3,few_shot_cot,238,0.6932773109243697,0.9957983193277311,0.0,488.0924369747899,335.5,0.03361344537815126
gemma_4_e4b,math_l1_l3,zero_shot,238,0.6386554621848739,1.0,0.0,620.4243697478992,428.5,0.07983193277310924
phi_4_mini_reasoning,gsm8k,cot,500,0.45,0.914,0.806,1891.184,1349.0,1.0
phi_4_mini_reasoning,gsm8k,few_shot_cot,500,0.716,0.896,0.874,1628.158,1126.0,1.0
phi_4_mini_reasoning,gsm8k,zero_shot,500,0.522,0.916,0.8,1941.896,1384.0,1.0
phi_4_mini_reasoning,math_l1_l3,cot,238,0.36554621848739494,0.7773109243697479,0.7563025210084033,2356.31512605042,1775.5,1.0
phi_4_mini_reasoning,math_l1_l3,few_shot_cot,238,0.5378151260504201,0.8277310924369747,0.8151260504201681,2160.4201680672268,1499.0,1.0
phi_4_mini_reasoning,math_l1_l3,zero_shot,238,0.3865546218487395,0.8235294117647058,0.7899159663865546,2411.9285714285716,1767.5,1.0
qwen3_30b_a3b,gsm8k,cot,500,0.9,0.962,0.036,411.178,210.5,0.038
qwen3_30b_a3b,gsm8k,few_shot_cot,500,0.934,0.98,0.016,257.756,169.5,0.02
qwen3_30b_a3b,gsm8k,zero_shot,500,0.912,0.976,0.024,348.746,210.0,0.026
qwen3_30b_a3b,math_l1_l3,cot,238,0.6722689075630253,0.8739495798319328,0.1134453781512605,959.5546218487395,301.0,0.13025210084033614
qwen3_30b_a3b,math_l1_l3,few_shot_cot,238,0.7058823529411765,0.9327731092436975,0.0546218487394958,572.2983193277311,249.0,0.06722689075630252
qwen3_30b_a3b,math_l1_l3,zero_shot,238,0.680672268907563,0.8865546218487395,0.09243697478991597,831.6932773109244,284.0,0.11764705882352941
