source_file,requested_model_name,actual_model_name,dataset_name,strategy,n,num_correct,accuracy,ci_low,ci_high,mean_latency_sec,peak_vram_gb,mean_output_tokens,mean_tokens_per_sec,prev_n,prev_accuracy,prev_mean_output_tokens,prev_mean_tokens_per_sec,accuracy_delta_vs_full500,output_tokens_delta_vs_full500
journal_protocolfix_v1__gemma_4_26b_a4b__gsm8k__cot__n500.csv,gemma_4_26b_a4b,gemma_4_26b_a4b,gsm8k,cot,500,379,0.758,0.7185836488729677,0.7934821914488713,18.31529557772726,48.06737232208252,401.33,21.989618749269482,500,0.754,256.962,22.330322378072236,0.0040000000000000036,144.368
journal_protocolfix_v1__gemma_4_e2b__gsm8k__cot__n500.csv,gemma_4_e2b,gemma_4_e2b,gsm8k,cot,500,332,0.664,0.62148722415566,0.704011992172951,5.4474676967486735,9.543148517608644,173.744,31.956802854175372,500,0.656,168.078,32.955101349442906,0.008000000000000007,5.665999999999997
journal_protocolfix_v1__gemma_4_e4b__gsm8k__cot__n500.csv,gemma_4_e4b,gemma_4_e4b,gsm8k,cot,500,395,0.79,0.7521551530407022,0.8234227294915977,5.712309314712882,14.89453125,148.796,26.191084086297387,500,0.784,135.562,26.22697978504631,0.006000000000000005,13.23399999999998
journal_protocolfix_v1__phi_4_mini_reasoning__gsm8k__cot__n500.csv,phi_4_mini_reasoning,phi_4_mini_reasoning,gsm8k,cot,500,225,0.45,0.40693965178133173,0.49382278226482357,24.7920426383391,7.145148277282715,1536.0,61.96309591853485,500,0.18,512.0,62.48180742552745,0.27,1024.0
journal_protocolfix_v1__qwen3_30b_a3b__gsm8k__cot__n500.csv,qwen3_30b_a3b,qwen3_30b_a3b,gsm8k,cot,500,450,0.9,0.8705780903680599,0.9233224372626984,17.89090887841582,57.67033767700195,465.034,25.949359231930654,500,0.74,378.484,26.659461182829094,0.16000000000000003,86.55000000000001
journal_protocolfix_v1__gemma_4_e2b__gsm8k__few_shot_cot__n500.csv,gemma_4_e2b,gemma_4_e2b,gsm8k,few_shot_cot,500,365,0.73,0.6894413425907917,0.7670514607968943,4.8817052778378125,9.543148517608644,155.438,31.957421073911405,500,0.718,150.102,32.114416137140026,0.01200000000000001,5.335999999999984
journal_protocolfix_v1__gemma_4_e4b__gsm8k__few_shot_cot__n500.csv,gemma_4_e4b,gemma_4_e4b,gsm8k,few_shot_cot,500,370,0.74,0.6998260397638378,0.7765142768146172,9.375303241588176,14.89453125,234.788,25.648284595362448,500,0.738,149.1,26.498212593171278,0.0020000000000000018,85.68800000000002
journal_protocolfix_v1__phi_4_mini_reasoning__gsm8k__few_shot_cot__n500.csv,phi_4_mini_reasoning,phi_4_mini_reasoning,gsm8k,few_shot_cot,500,358,0.716,0.6749440568762679,0.7537622280443415,25.905538509458303,7.145148277282715,1536.0,59.32735615911416,500,0.316,512.0,63.26466789153363,0.39999999999999997,1024.0
journal_protocolfix_v1__qwen3_30b_a3b__gsm8k__few_shot_cot__n500.csv,qwen3_30b_a3b,qwen3_30b_a3b,gsm8k,few_shot_cot,500,467,0.934,0.9087605988391466,0.9526214736402262,16.86462858324498,57.67326736450195,438.206,25.922510963645223,500,0.762,369.986,26.341471832332754,0.17200000000000004,68.22000000000003
journal_protocolfix_v1__gemma_4_26b_a4b__gsm8k__zero_shot__n500.csv,gemma_4_26b_a4b,gemma_4_26b_a4b,gsm8k,zero_shot,500,390,0.78,0.7416313019131544,0.8140990674283763,16.14609443706274,48.06737232208252,353.75,21.976233782948636,500,0.78,186.734,22.362254057192345,0.0,167.016
journal_protocolfix_v1__gemma_4_e2b__gsm8k__zero_shot__n500.csv,gemma_4_e2b,gemma_4_e2b,gsm8k,zero_shot,500,339,0.678,0.6358218272211889,0.7174639075744986,4.8194933770895005,9.543148517608644,152.148,31.587347433752814,500,0.674,150.874,31.708755568739463,0.0040000000000000036,1.274000000000001
