model,dataset,strategy,n,strict_acc,strict_missing_prediction_rate,think_tag_rate,object_object_rate,diagnostic_lenient_acc,terminal_hash_answer_rate
phi_4_reasoning,gsm8k,cot,238,0.008403361344537815,0.9831932773109243,1.0,0.0,0.42436974789915966,0.0546218487394958
phi_4_reasoning,gsm8k,few_shot_cot,238,0.02100840336134454,0.9747899159663865,0.9915966386554622,0.0,0.5042016806722689,0.04201680672268908
phi_4_reasoning,gsm8k,zero_shot,238,0.04201680672268908,0.957983193277311,0.9747899159663865,0.0,0.4495798319327731,0.08403361344537816
phi_4_mini_reasoning,gsm8k,zero_shot,238,0.18067226890756302,0.8151260504201681,0.8571428571428571,0.0,0.22268907563025211,0.029411764705882353
phi_4_mini_reasoning,gsm8k,cot,238,0.21008403361344538,0.7521008403361344,0.8613445378151261,0.0,0.2689075630252101,0.037815126050420166
phi_4_mini_reasoning,gsm8k,few_shot_cot,238,0.31512605042016806,0.6512605042016807,0.8697478991596639,0.0,0.23529411764705882,0.03361344537815126
gemma_4_26b_a4b,gsm8k,few_shot_cot,238,0.680672268907563,0.29831932773109243,0.0,0.0,0.5672268907563025,0.5798319327731093
qwen3_30b_a3b,gsm8k,cot,238,0.7563025210084033,0.21008403361344538,0.12184873949579832,0.0,0.5462184873949579,0.7941176470588235
qwen3_30b_a3b,gsm8k,zero_shot,238,0.7815126050420168,0.19747899159663865,0.1092436974789916,0.0,0.5336134453781513,0.8067226890756303
qwen3_8b,gsm8k,zero_shot,238,0.7899159663865546,0.18067226890756302,0.14705882352941177,0.0,0.5462184873949579,0.8151260504201681
gemma_4_e4b,truthfulqa_mc1,cot,238,0.6428571428571429,0.18067226890756302,0.0,0.0,0.6092436974789915,
qwen3_8b,gsm8k,cot,238,0.7899159663865546,0.17647058823529413,0.15126050420168066,0.0,0.5504201680672269,0.8025210084033614
qwen3_8b,gsm8k,few_shot_cot,238,0.819327731092437,0.16806722689075632,0.13025210084033614,0.0,0.542016806722689,0.8319327731092437
gemma_4_26b_a4b,gsm8k,cot,238,0.7815126050420168,0.16806722689075632,0.0,0.0,0.6218487394957983,0.8781512605042017
qwen3_30b_a3b,gsm8k,few_shot_cot,238,0.8067226890756303,0.15966386554621848,0.10504201680672269,0.0,0.5462184873949579,0.8403361344537815
gemma_4_26b_a4b,gsm8k,zero_shot,238,0.7941176470588235,0.14705882352941177,0.0,0.0,0.6092436974789915,0.8571428571428571
gemma_4_e2b,gsm8k,cot,238,0.6848739495798319,0.14285714285714285,0.0,0.0,0.5462184873949579,0.8991596638655462
gemma_4_26b_a4b,truthfulqa_mc1,cot,238,0.726890756302521,0.13025210084033614,0.0,0.0,0.7184873949579832,
gemma_4_e2b,gsm8k,zero_shot,238,0.6932773109243697,0.11764705882352941,0.0,0.0,0.5336134453781513,0.9159663865546218
gemma_4_e4b,gsm8k,few_shot_cot,238,0.7521008403361344,0.10504201680672269,0.0,0.0,0.5630252100840336,0.9831932773109243
gemma_4_26b_a4b,arc_challenge,cot,238,0.8907563025210085,0.07983193277310924,0.0,0.0,0.8235294117647058,
gemma_4_26b_a4b,truthfulqa_mc1,zero_shot,238,0.7941176470588235,0.07563025210084033,0.0,0.0,0.7857142857142857,
gemma_4_e4b,gsm8k,zero_shot,238,0.7899159663865546,0.07563025210084033,0.0,0.0,0.5798319327731093,0.9705882352941176
gemma_4_26b_a4b,truthfulqa_mc1,few_shot_cot,238,0.7857142857142857,0.05042016806722689,0.0,0.0,0.7857142857142857,
gemma_4_e4b,gsm8k,cot,238,0.7899159663865546,0.05042016806722689,0.0,0.0,0.5756302521008403,0.9789915966386554
