source_file,requested_model_name,actual_model_name,dataset_name,strategy,n,num_correct,accuracy,ci_low,ci_high,mean_latency_sec,peak_vram_gb,mean_output_tokens,mean_tokens_per_sec
journal_full500_v1__gemma_4_26b_a4b__arc_challenge__cot__n500.csv,gemma_4_26b_a4b,gemma_4_26b_a4b,arc_challenge,cot,500,429,0.858,0.8246703326752246,0.885870639554304,2.5102835697084664,48.06737232208252,55.678,18.22137020163713
journal_full500_v1__gemma_4_e2b__arc_challenge__cot__n500.csv,gemma_4_e2b,gemma_4_e2b,arc_challenge,cot,500,383,0.766,0.7269485494684876,0.8009953014059666,0.46577917459607127,9.543148517608644,14.578,31.108914609062545
journal_full500_v1__gemma_4_e4b__arc_challenge__cot__n500.csv,gemma_4_e4b,gemma_4_e4b,arc_challenge,cot,500,439,0.878,0.8463952769261602,0.9038407216849063,0.6479623616039752,14.89453125,17.168,26.006656226318285
journal_full500_v1__phi_4_mini_reasoning__arc_challenge__cot__n500.csv,phi_4_mini_reasoning,phi_4_mini_reasoning,arc_challenge,cot,500,124,0.248,0.2121642083459476,0.2876784592466748,4.051492192514241,7.145148277282715,256.0,63.18921147553883
journal_full500_v1__phi_4_reasoning__arc_challenge__cot__n500.csv,phi_4_reasoning,phi_4_reasoning,arc_challenge,cot,500,134,0.268,0.23105397343634804,0.30848372053781226,4.858918312951922,27.305460929870605,255.486,52.582009324107304
journal_full500_v1__qwen3_30b_a3b__arc_challenge__cot__n500.csv,qwen3_30b_a3b,qwen3_30b_a3b,arc_challenge,cot,500,186,0.372,0.3307607484885237,0.4151910826696337,9.538680235765874,57.67424392700195,249.546,26.16002717137435
journal_full500_v1__qwen3_8b__arc_challenge__cot__n500.csv,qwen3_8b,qwen3_8b,arc_challenge,cot,500,156,0.312,0.27295294872528497,0.3539138032882587,5.159804010681808,15.256451606750488,252.766,48.98998126227013
journal_full500_v1__gemma_4_26b_a4b__arc_challenge__few_shot_cot__n500.csv,gemma_4_26b_a4b,gemma_4_26b_a4b,arc_challenge,few_shot_cot,500,456,0.912,0.8839235279346099,0.9337940155250711,2.5720862739831207,48.06737232208252,55.7,18.055096646086376
journal_full500_v1__gemma_4_e2b__arc_challenge__few_shot_cot__n500.csv,gemma_4_e2b,gemma_4_e2b,arc_challenge,few_shot_cot,500,365,0.73,0.6894413425907917,0.7670514607968943,4.1917600346654655,9.543148517608644,136.184,32.284109639281176
journal_full500_v1__gemma_4_e4b__arc_challenge__few_shot_cot__n500.csv,gemma_4_e4b,gemma_4_e4b,arc_challenge,few_shot_cot,500,442,0.884,0.8529581630365658,0.9091863434889621,0.7113674516603351,14.89453125,18.526,25.595312155538227
journal_full500_v1__phi_4_mini_reasoning__arc_challenge__few_shot_cot__n500.csv,phi_4_mini_reasoning,phi_4_mini_reasoning,arc_challenge,few_shot_cot,500,135,0.27,0.2329485392031058,0.3105586574092084,4.0633538495898245,7.145148277282715,255.83,62.96287593887285
journal_full500_v1__phi_4_reasoning__arc_challenge__few_shot_cot__n500.csv,phi_4_reasoning,phi_4_reasoning,arc_challenge,few_shot_cot,500,123,0.246,0.2102809916856707,0.2855921732687978,4.78469943357259,27.305460929870605,256.0,53.505540233922645
journal_full500_v1__qwen3_30b_a3b__arc_challenge__few_shot_cot__n500.csv,qwen3_30b_a3b,qwen3_30b_a3b,arc_challenge,few_shot_cot,500,225,0.45,0.40693965178133173,0.49382278226482357,9.227085568375886,57.67131423950195,241.878,26.206679720514096
journal_full500_v1__qwen3_8b__arc_challenge__few_shot_cot__n500.csv,qwen3_8b,qwen3_8b,arc_challenge,few_shot_cot,500,254,0.508,0.46428581664185803,0.5515921939107572,4.877230359300971,15.256451606750488,239.814,49.17404840677448
journal_full500_v1__gemma_4_26b_a4b__arc_challenge__zero_shot__n500.csv,gemma_4_26b_a4b,gemma_4_26b_a4b,arc_challenge,zero_shot,500,461,0.922,0.8951464501266115,0.9424186065238385,3.4455914530456067,48.06737232208252,75.108,19.353971149528924
journal_full500_v1__gemma_4_e2b__arc_challenge__zero_shot__n500.csv,gemma_4_e2b,gemma_4_e2b,arc_challenge,zero_shot,500,381,0.762,0.7227638647789387,0.797240980819208,1.6288154534325003,9.543148517608644,53.066,32.29126266601688
journal_full500_v1__gemma_4_e4b__arc_challenge__zero_shot__n500.csv,gemma_4_e4b,gemma_4_e4b,arc_challenge,zero_shot,500,453,0.906,0.8772354441374409,0.9285735914077787,0.18927102152258157,14.89453125,4.86,25.623504708055275
journal_full500_v1__phi_4_mini_reasoning__arc_challenge__zero_shot__n500.csv,phi_4_mini_reasoning,phi_4_mini_reasoning,arc_challenge,zero_shot,500,124,0.248,0.2121642083459476,0.2876784592466748,4.059198320642114,7.145148277282715,256.0,63.06863056180643
