requested_model_name,dataset_name,strategy,n,accuracy,ci_low,ci_high
gemma_4_26b_a4b,arc_challenge,cot,500,0.858,0.8246703326752246,0.885870639554304
gemma_4_e2b,arc_challenge,cot,500,0.766,0.7269485494684876,0.8009953014059666
gemma_4_e4b,arc_challenge,cot,500,0.878,0.8463952769261602,0.9038407216849063
phi_4_mini_reasoning,arc_challenge,cot,500,0.248,0.2121642083459476,0.2876784592466748
phi_4_reasoning,arc_challenge,cot,500,0.268,0.23105397343634804,0.30848372053781226
qwen3_30b_a3b,arc_challenge,cot,500,0.372,0.3307607484885237,0.4151910826696337
qwen3_8b,arc_challenge,cot,500,0.312,0.27295294872528497,0.3539138032882587
gemma_4_26b_a4b,arc_challenge,few_shot_cot,500,0.912,0.8839235279346099,0.9337940155250711
gemma_4_e2b,arc_challenge,few_shot_cot,500,0.73,0.6894413425907917,0.7670514607968943
gemma_4_e4b,arc_challenge,few_shot_cot,500,0.884,0.8529581630365658,0.9091863434889621
phi_4_mini_reasoning,arc_challenge,few_shot_cot,500,0.27,0.2329485392031058,0.3105586574092084
phi_4_reasoning,arc_challenge,few_shot_cot,500,0.246,0.2102809916856707,0.2855921732687978
qwen3_30b_a3b,arc_challenge,few_shot_cot,500,0.45,0.40693965178133173,0.49382278226482357
qwen3_8b,arc_challenge,few_shot_cot,500,0.508,0.46428581664185803,0.5515921939107572
gemma_4_26b_a4b,arc_challenge,zero_shot,500,0.922,0.8951464501266115,0.9424186065238385
gemma_4_e2b,arc_challenge,zero_shot,500,0.762,0.7227638647789387,0.797240980819208
gemma_4_e4b,arc_challenge,zero_shot,500,0.906,0.8772354441374409,0.9285735914077787
phi_4_mini_reasoning,arc_challenge,zero_shot,500,0.248,0.2121642083459476,0.2876784592466748
phi_4_reasoning,arc_challenge,zero_shot,500,0.274,0.2367406256658206,0.3147055762228011
qwen3_30b_a3b,arc_challenge,zero_shot,500,0.384,0.34240767461779237,0.4273611723692879
qwen3_8b,arc_challenge,zero_shot,500,0.404,0.36187922469306827,0.44758464867554987
gemma_4_26b_a4b,gsm8k,cot,500,0.754,0.7144078267312022,0.7897190083143293
gemma_4_e2b,gsm8k,cot,500,0.656,0.6133141713377336,0.6963070344382621
gemma_4_e4b,gsm8k,cot,500,0.784,0.7458371194720326,0.8178322551458059
phi_4_mini_reasoning,gsm8k,cot,500,0.18,0.14880490791275897,0.21607466998263447
phi_4_reasoning,gsm8k,cot,500,0.02,0.01089918359621081,0.036420183246879345
qwen3_30b_a3b,gsm8k,cot,500,0.74,0.6998260397638378,0.7765142768146172
qwen3_8b,gsm8k,cot,500,0.776,0.7374303353251315,0.8103610287400917
