requested_model_name,dataset_name,strategy,mean_latency_sec,mean_output_tokens,mean_tokens_per_sec,peak_vram_gb
gemma_4_26b_a4b,arc_challenge,cot,2.5102835697084664,55.678,18.22137020163713,48.06737232208252
gemma_4_e2b,arc_challenge,cot,0.46577917459607127,14.578,31.108914609062545,9.543148517608644
gemma_4_e4b,arc_challenge,cot,0.6479623616039752,17.168,26.006656226318285,14.89453125
phi_4_mini_reasoning,arc_challenge,cot,4.051492192514241,256.0,63.18921147553883,7.145148277282715
phi_4_reasoning,arc_challenge,cot,4.858918312951922,255.486,52.582009324107304,27.305460929870605
qwen3_30b_a3b,arc_challenge,cot,9.538680235765874,249.546,26.16002717137435,57.67424392700195
qwen3_8b,arc_challenge,cot,5.159804010681808,252.766,48.98998126227013,15.256451606750488
gemma_4_26b_a4b,arc_challenge,few_shot_cot,2.5720862739831207,55.7,18.055096646086376,48.06737232208252
gemma_4_e2b,arc_challenge,few_shot_cot,4.1917600346654655,136.184,32.284109639281176,9.543148517608644
gemma_4_e4b,arc_challenge,few_shot_cot,0.7113674516603351,18.526,25.595312155538227,14.89453125
phi_4_mini_reasoning,arc_challenge,few_shot_cot,4.0633538495898245,255.83,62.96287593887285,7.145148277282715
phi_4_reasoning,arc_challenge,few_shot_cot,4.78469943357259,256.0,53.505540233922645,27.305460929870605
qwen3_30b_a3b,arc_challenge,few_shot_cot,9.227085568375886,241.878,26.206679720514096,57.67131423950195
qwen3_8b,arc_challenge,few_shot_cot,4.877230359300971,239.814,49.17404840677448,15.256451606750488
gemma_4_26b_a4b,arc_challenge,zero_shot,3.4455914530456067,75.108,19.353971149528924,48.06737232208252
gemma_4_e2b,arc_challenge,zero_shot,1.6288154534325003,53.066,32.29126266601688,9.543148517608644
gemma_4_e4b,arc_challenge,zero_shot,0.18927102152258157,4.86,25.623504708055275,14.89453125
phi_4_mini_reasoning,arc_challenge,zero_shot,4.059198320642114,256.0,63.06863056180643,7.145148277282715
phi_4_reasoning,arc_challenge,zero_shot,4.832939256250858,253.036,52.35680742867914,27.305460929870605
qwen3_30b_a3b,arc_challenge,zero_shot,9.434089178703726,249.122,26.40410933253642,57.67326736450195
qwen3_8b,arc_challenge,zero_shot,4.72324775376916,236.394,49.93262933566955,15.256451606750488
gemma_4_26b_a4b,gsm8k,cot,11.468622592583298,256.962,22.330322378072236,48.06737232208252
gemma_4_e2b,gsm8k,cot,5.104600282229483,168.078,32.955101349442906,9.543148517608644
gemma_4_e4b,gsm8k,cot,5.171177847169339,135.562,26.22697978504631,14.89453125
phi_4_mini_reasoning,gsm8k,cot,8.194511065095663,512.0,62.48180742552745,7.145148277282715
phi_4_reasoning,gsm8k,cot,9.652178296804427,511.828,53.028233797461155,27.305460929870605
qwen3_30b_a3b,gsm8k,cot,14.187606480389833,378.484,26.659461182829094,57.67326736450195
qwen3_8b,gsm8k,cot,7.094296677827835,353.444,49.814642075256124,15.256451606750488
gemma_4_26b_a4b,gsm8k,few_shot_cot,13.865889235295356,315.178,22.59992703810051,48.06737232208252
gemma_4_e2b,gsm8k,few_shot_cot,4.684867987647652,150.102,32.114416137140026,9.543148517608644
gemma_4_e4b,gsm8k,few_shot_cot,5.670981202408671,149.1,26.498212593171278,14.89453125
phi_4_mini_reasoning,gsm8k,few_shot_cot,8.093166166506707,512.0,63.26466789153363,7.145148277282715
phi_4_reasoning,gsm8k,few_shot_cot,9.722116352587939,512.0,52.663990134969154,27.305460929870605
qwen3_30b_a3b,gsm8k,few_shot_cot,14.032751825928688,369.986,26.341471832332754,57.67033767700195
qwen3_8b,gsm8k,few_shot_cot,6.918191760748625,338.892,48.97368833886899,15.256451606750488
gemma_4_26b_a4b,gsm8k,zero_shot,8.297185954801739,186.734,22.362254057192345,48.06737232208252
gemma_4_e2b,gsm8k,zero_shot,4.759527879104018,150.874,31.708755568739463,9.543148517608644
gemma_4_e4b,gsm8k,zero_shot,4.985334709137678,130.956,26.283707980058058,14.89453125
phi_4_mini_reasoning,gsm8k,zero_shot,8.04190700455755,512.0,63.66817579170967,7.145148277282715
phi_4_reasoning,gsm8k,zero_shot,9.781309348359704,511.978,52.343494116187856,27.305460929870605
qwen3_30b_a3b,gsm8k,zero_shot,14.26921700502187,371.848,26.042068780769917,57.67326736450195
qwen3_8b,gsm8k,zero_shot,6.876031743504107,337.836,49.127490705256726,15.256451606750488
gemma_4_26b_a4b,math_l1_l3,cot,16.978726258517064,384.20168067226894,22.61004172369364,48.06737232208252
gemma_4_e2b,math_l1_l3,cot,11.005989051713538,344.2226890756302,31.515796313757377,9.543148517608644
gemma_4_e4b,math_l1_l3,cot,10.586130954653902,278.38655462184875,26.54301645191937,14.89453125
phi_4_mini_reasoning,math_l1_l3,cot,16.252215263269402,1024.0,63.00766828405308,7.145148277282715
phi_4_reasoning,math_l1_l3,cot,19.179345983526662,1017.218487394958,53.03729898323239,27.305460929870605
qwen3_30b_a3b,math_l1_l3,cot,26.09842925701885,693.2689075630252,26.544199326382753,57.67229080200195
