scheme,requested_model_name,actual_model_name,strategy,weighted_accuracy,mean_latency_sec_across_tasks,mean_vram_gb_across_tasks,mean_flops_per_token
paper_original,gemma_4_26b_a4b,gemma_4_26b_a4b,cot,0.7410571428571429,8.365558401797154,48.06737232208252,
equal_weights,gemma_4_26b_a4b,gemma_4_26b_a4b,cot,0.7512142857142857,8.365558401797154,48.06737232208252,
arc_heavy,gemma_4_26b_a4b,gemma_4_26b_a4b,cot,0.7833714285714286,8.365558401797154,48.06737232208252,
gsm8k_heavy,gemma_4_26b_a4b,gemma_4_26b_a4b,cot,0.7521714285714286,8.365558401797154,48.06737232208252,
math_heavy,gemma_4_26b_a4b,gemma_4_26b_a4b,cot,0.7188285714285715,8.365558401797154,48.06737232208252,
truthfulqa_heavy,gemma_4_26b_a4b,gemma_4_26b_a4b,cot,0.7401714285714286,8.365558401797154,48.06737232208252,
no_truthfulqa_renorm,gemma_4_26b_a4b,gemma_4_26b_a4b,cot,0.7400634920634921,8.365558401797154,48.06737232208252,
paper_original,gemma_4_26b_a4b,gemma_4_26b_a4b,few_shot_cot,0.7094285714285714,10.369538385164182,48.06737232208252,
equal_weights,gemma_4_26b_a4b,gemma_4_26b_a4b,few_shot_cot,0.7468571428571429,10.369538385164182,48.06737232208252,
arc_heavy,gemma_4_26b_a4b,gemma_4_26b_a4b,few_shot_cot,0.7890857142857143,10.369538385164182,48.06737232208252,
gsm8k_heavy,gemma_4_26b_a4b,gemma_4_26b_a4b,few_shot_cot,0.7206857142857144,10.369538385164182,48.06737232208252,
math_heavy,gemma_4_26b_a4b,gemma_4_26b_a4b,few_shot_cot,0.6869142857142857,10.369538385164182,48.06737232208252,
truthfulqa_heavy,gemma_4_26b_a4b,gemma_4_26b_a4b,few_shot_cot,0.7522857142857142,10.369538385164182,48.06737232208252,
no_truthfulqa_renorm,gemma_4_26b_a4b,gemma_4_26b_a4b,few_shot_cot,0.6971428571428571,10.369538385164182,48.06737232208252,
paper_original,gemma_4_26b_a4b,gemma_4_26b_a4b,zero_shot,0.783583193277311,7.069562149094262,48.06737232208252,
