source_file,requested_model_name,actual_model_name,dataset_name,strategy,n,num_correct,accuracy,ci_low,ci_high,mean_latency_sec,std_latency_sec,mean_output_tokens,mean_tokens_per_sec,peak_vram_gb,flops_per_token
revision_full500_v1__gemma_4_e4b__arc_challenge__cot__n500.csv,gemma_4_e4b,gemma_4_e4b,arc_challenge,cot,500,439,0.878,0.8463952769261602,0.9038407216849063,0.6643141822889447,2.1408493480905513,17.168,25.42100679250444,14.894491195678713,
revision_full500_v1__gemma_4_26b_a4b__arc_challenge__cot__n500.csv,gemma_4_26b_a4b,gemma_4_26b_a4b,arc_challenge,cot,500,429,0.858,0.8246703326752246,0.885870639554304,2.6072724844589827,4.43778876525218,55.678,17.614853665485548,48.06737232208252,
revision_full500_v1__gemma_4_e2b__arc_challenge__cot__n500.csv,gemma_4_e2b,gemma_4_e2b,arc_challenge,cot,500,383,0.766,0.7269485494684876,0.8009953014059666,0.4659113650619984,1.2525242927601166,14.578,31.117102101464557,9.543148517608644,
revision_full500_v1__qwen3_30b_a3b__arc_challenge__cot__n500.csv,qwen3_30b_a3b,qwen3_30b_a3b,arc_challenge,cot,500,186,0.372,0.3307607484885237,0.4151910826696337,9.511687307938933,0.7507867913459007,249.546,26.233299896129754,57.62053298950195,
revision_full500_v1__qwen3_8b__arc_challenge__cot__n500.csv,qwen3_8b,qwen3_8b,arc_challenge,cot,500,156,0.312,0.27295294872528497,0.3539138032882587,5.144938180163503,0.2512781176437296,252.766,49.130762787236115,15.256451606750488,
revision_full500_v1__phi_4_reasoning__arc_challenge__cot__n500.csv,phi_4_reasoning,phi_4_reasoning,arc_challenge,cot,500,134,0.268,0.23105397343634806,0.30848372053781226,5.182559886649251,0.19031904513584869,255.486,49.34585878036105,27.305460929870605,
revision_full500_v1__phi_4_mini_reasoning__arc_challenge__cot__n500.csv,phi_4_mini_reasoning,phi_4_mini_reasoning,arc_challenge,cot,500,124,0.248,0.21216420834594762,0.2876784592466748,4.094264499507845,0.026012891650857364,256.0,62.52884578444359,7.145148277282715,
revision_full500_v1__gemma_4_26b_a4b__arc_challenge__few_shot_cot__n500.csv,gemma_4_26b_a4b,gemma_4_26b_a4b,arc_challenge,few_shot_cot,500,456,0.912,0.8839235279346099,0.9337940155250711,2.6843117174729705,4.411343854749528,55.7,17.302587289406883,48.06737232208252,
revision_full500_v1__gemma_4_e4b__arc_challenge__few_shot_cot__n500.csv,gemma_4_e4b,gemma_4_e4b,arc_challenge,few_shot_cot,500,442,0.884,0.8529581630365658,0.9091863434889621,0.7099263557121158,1.9844277514126516,18.526,25.67551883250459,14.894491195678713,
revision_full500_v1__gemma_4_e2b__arc_challenge__few_shot_cot__n500.csv,gemma_4_e2b,gemma_4_e2b,arc_challenge,few_shot_cot,500,365,0.73,0.6894413425907917,0.7670514607968943,4.210067887574434,3.8413429424412464,136.184,32.156251158520845,9.543148517608644,
