requested_model_name,dataset_name,strategy,accuracy,ci_low,ci_high,n
gemma_4_26b_a4b,arc_challenge,cot,0.8907563025210085,0.8447463645474417,0.924352086670215,238
gemma_4_e2b,arc_challenge,cot,0.7689075630252101,0.7113369470216023,0.8179351054292582,238
gemma_4_e4b,arc_challenge,cot,0.8907563025210085,0.8447463645474417,0.924352086670215,238
phi_4_mini_reasoning,arc_challenge,cot,0.2689075630252101,0.21657517039111923,0.32858165953392254,238
phi_4_reasoning,arc_challenge,cot,0.29411764705882354,0.2398678445587814,0.3549082402835285,238
qwen3_30b_a3b,arc_challenge,cot,0.3949579831932773,0.3349928874955609,0.45826021701582165,238
qwen3_8b,arc_challenge,cot,0.3403361344537815,0.28310043188497847,0.40264428697232313,238
gemma_4_26b_a4b,arc_challenge,few_shot_cot,0.9369747899159664,0.898629319936815,0.9614377652958329,238
gemma_4_e2b,arc_challenge,few_shot_cot,0.726890756302521,0.6670154740901835,0.7795578201652298,238
gemma_4_e4b,arc_challenge,few_shot_cot,0.8907563025210085,0.8447463645474417,0.924352086670215,238
phi_4_mini_reasoning,arc_challenge,few_shot_cot,0.28991596638655465,0.23597089591726106,0.35053531310550423,238
phi_4_reasoning,arc_challenge,few_shot_cot,0.2773109243697479,0.22431534045081344,0.3373812411133177,238
qwen3_30b_a3b,arc_challenge,few_shot_cot,0.48739495798319327,0.4245974833448165,0.5505928891965493,238
qwen3_8b,arc_challenge,few_shot_cot,0.5252100840336135,0.46187109244147023,0.587748162475798,238
gemma_4_26b_a4b,arc_challenge,zero_shot,0.9453781512605042,0.9088023203717762,0.9678045164999612,238
gemma_4_e2b,arc_challenge,zero_shot,0.7689075630252101,0.7113369470216023,0.8179351054292582,238
gemma_4_e4b,arc_challenge,zero_shot,0.8991596638655462,0.8543418311324636,0.9312963717242823,238
phi_4_mini_reasoning,arc_challenge,zero_shot,0.27310924369747897,0.22044217983477005,0.33298452590981636,238
phi_4_reasoning,arc_challenge,zero_shot,0.3025210084033613,0.2476789498084673,0.36363688667293204,238
qwen3_30b_a3b,arc_challenge,zero_shot,0.41596638655462187,0.3551658775020451,0.47943660610706096,238
qwen3_8b,arc_challenge,zero_shot,0.44537815126050423,0.3835995445125284,0.5088920698333905,238
gemma_4_26b_a4b,gsm8k,cot,0.7815126050420168,0.7247691189893162,0.8293125609201784,238
gemma_4_e2b,gsm8k,cot,0.6848739495798319,0.6233121663218255,0.7405623697381409,238
gemma_4_e4b,gsm8k,cot,0.7899159663865546,0.7337620298546615,0.8368594016939223,238
phi_4_mini_reasoning,gsm8k,cot,0.21008403361344538,0.1631405983060777,0.2662379701453384,238
phi_4_reasoning,gsm8k,cot,0.008403361344537815,0.002307489575779127,0.03011703953749171,238
qwen3_30b_a3b,gsm8k,cot,0.7563025210084033,0.6979699621783712,0.8064924628138551,238
qwen3_8b,gsm8k,cot,0.7899159663865546,0.7337620298546615,0.8368594016939223,238
gemma_4_26b_a4b,gsm8k,few_shot_cot,0.680672268907563,0.6189728089182516,0.7366318513221704,238
gemma_4_e2b,gsm8k,few_shot_cot,0.7100840336134454,0.6494646868944958,0.7640291040827389,238
gemma_4_e4b,gsm8k,few_shot_cot,0.7521008403361344,0.6935281838676295,0.802664365305052,238
phi_4_mini_reasoning,gsm8k,few_shot_cot,0.31512605042016806,0.25943763026185895,0.3766878336781744,238
phi_4_reasoning,gsm8k,few_shot_cot,0.02100840336134454,0.00900598570518914,0.04822817086671577,238
qwen3_30b_a3b,gsm8k,few_shot_cot,0.8067226890756303,0.7518453478509413,0.8518555869758213,238
qwen3_8b,gsm8k,few_shot_cot,0.819327731092437,0.7654992539921194,0.8630113082932772,238
gemma_4_26b_a4b,gsm8k,zero_shot,0.7941176470588235,0.7382704038832029,0.8406209034849255,238
gemma_4_e2b,gsm8k,zero_shot,0.6932773109243697,0.6320072584707848,0.7484070292282712,238
gemma_4_e4b,gsm8k,zero_shot,0.7899159663865546,0.7337620298546615,0.8368594016939223,238
phi_4_mini_reasoning,gsm8k,zero_shot,0.18067226890756302,0.13698869170672273,0.2345007460078805,238
phi_4_reasoning,gsm8k,zero_shot,0.04201680672268908,0.022979992778216888,0.07560354289141151,238
qwen3_30b_a3b,gsm8k,zero_shot,0.7815126050420168,0.7247691189893162,0.8293125609201784,238
qwen3_8b,gsm8k,zero_shot,0.7899159663865546,0.7337620298546615,0.8368594016939223,238
gemma_4_26b_a4b,math_l1_l3,cot,0.6428571428571429,0.5801547461230793,0.7010210317414404,238
gemma_4_e2b,math_l1_l3,cot,0.5798319327731093,0.5163419060835182,0.6407857344878312,238
gemma_4_e4b,math_l1_l3,cot,0.6680672268907563,0.6059868196908431,0.7248082130909446,238
