TAG: workshop_unified238_v1
====================================================================================================
Prepared unified sample size per condition: n=238

Raw rows: 19992
Aggregated condition rows: 84
Weighted rows: 21

Top 15 weighted results:
requested_model_name actual_model_name     strategy  weighted_accuracy  mean_latency_sec_across_tasks  mean_vram_gb_across_tasks  mean_output_tokens_across_tasks  mean_tokens_per_sec_across_tasks
     gemma_4_26b_a4b   gemma_4_26b_a4b    zero_shot           0.794118                       7.283173                  48.067372                              NaN                         20.570053
         gemma_4_e4b       gemma_4_e4b few_shot_cot           0.760924                       3.677166                  14.894531                              NaN                         25.850020
         gemma_4_e4b       gemma_4_e4b          cot           0.758824                       4.720123                  14.894531                              NaN                         25.615080
         gemma_4_e4b       gemma_4_e4b    zero_shot           0.758403                       4.373435                  14.894531                              NaN                         25.684067
     gemma_4_26b_a4b   gemma_4_26b_a4b          cot           0.756303                       8.714711                  48.067372                              NaN                         19.960368
            qwen3_8b          qwen3_8b few_shot_cot           0.722269                       7.024568                  15.256452                              NaN                         49.419380
     gemma_4_26b_a4b   gemma_4_26b_a4b few_shot_cot           0.709664                      10.580171                  48.067372                              NaN                         19.597785
       qwen3_30b_a3b     qwen3_30b_a3b few_shot_cot           0.700840                      14.700588                  57.620533                              NaN                         25.126783
         gemma_4_e2b       gemma_4_e2b few_shot_cot           0.687815                       5.997216                   9.543149                              NaN                         31.747001
         gemma_4_e2b       gemma_4_e2b    zero_shot           0.671429                       5.097808                   9.543149                              NaN                         31.648446
       qwen3_30b_a3b     qwen3_30b_a3b    zero_shot           0.669328                      15.301127                  57.620533                              NaN                         25.342120
         gemma_4_e2b       gemma_4_e2b          cot           0.657983                       4.425420                   9.543149                              NaN                         31.600216
       qwen3_30b_a3b     qwen3_30b_a3b          cot           0.652941                      15.209847                  57.620533                              NaN                         25.307637
            qwen3_8b          qwen3_8b    zero_shot           0.566807                       7.354147                  15.256452                              NaN                         49.124969
            qwen3_8b          qwen3_8b          cot           0.565966                       7.681695                  15.256452                              NaN                         49.450170
