requested_model_name,actual_model_name,strategy,weighted_accuracy,mean_latency_sec_across_tasks,mean_vram_gb_across_tasks,mean_output_tokens_across_tasks,mean_tokens_per_sec_across_tasks
gemma_4_26b_a4b,gemma_4_26b_a4b,zero_shot,0.7941176470588234,7.283172880796356,48.06737232208252,,20.570053462016975
gemma_4_e4b,gemma_4_e4b,few_shot_cot,0.7609243697478991,3.6771661859757008,14.89453125,,25.850020349483344
gemma_4_e4b,gemma_4_e4b,cot,0.7588235294117647,4.720122667643859,14.89453125,,25.615079663757797
gemma_4_e4b,gemma_4_e4b,zero_shot,0.7584033613445378,4.373434536080777,14.89453125,,25.684067096767446
gemma_4_26b_a4b,gemma_4_26b_a4b,cot,0.7563025210084033,8.71471136368952,48.06737232208252,,19.96036817594411
qwen3_8b,qwen3_8b,few_shot_cot,0.7222689075630252,7.024567841560024,15.256451606750488,,49.41938030854046
gemma_4_26b_a4b,gemma_4_26b_a4b,few_shot_cot,0.7096638655462184,10.58017067377213,48.06737232208252,,19.59778502302683
qwen3_30b_a3b,qwen3_30b_a3b,few_shot_cot,0.7008403361344537,14.700587844753935,57.62053298950195,,25.126782991627742
gemma_4_e2b,gemma_4_e2b,few_shot_cot,0.6878151260504203,5.997216199853403,9.543148517608644,,31.74700140586411
gemma_4_e2b,gemma_4_e2b,zero_shot,0.6714285714285715,5.097807509965506,9.543148517608644,,31.648445886782117
qwen3_30b_a3b,qwen3_30b_a3b,zero_shot,0.669327731092437,15.3011271353271,57.62053298950195,,25.342119780567394
gemma_4_e2b,gemma_4_e2b,cot,0.657983193277311,4.425420260839477,9.543148517608644,,31.600215871473914
qwen3_30b_a3b,qwen3_30b_a3b,cot,0.6529411764705882,15.209847461768748,57.62053298950195,,25.307637335821326
qwen3_8b,qwen3_8b,zero_shot,0.5668067226890756,7.354146655926779,15.256451606750488,,49.124968872940514
qwen3_8b,qwen3_8b,cot,0.5659663865546218,7.681694577479374,15.256451606750488,,49.450169931535314
phi_4_mini_reasoning,phi_4_mini_reasoning,few_shot_cot,0.3978991596638655,8.231677511292158,7.145148277282715,,62.28229187847998
phi_4_mini_reasoning,phi_4_mini_reasoning,cot,0.30294117647058827,8.255438020609382,7.145148277282715,,61.99207978321239
phi_4_mini_reasoning,phi_4_mini_reasoning,zero_shot,0.29705882352941176,8.208939040095366,7.145148277282715,,62.240186450181085
phi_4_reasoning,phi_4_reasoning,zero_shot,0.18823529411764706,9.563025641521174,27.305460929870605,,53.517494195922716
phi_4_reasoning,phi_4_reasoning,few_shot_cot,0.1726890756302521,9.56622324363493,27.305460929870605,,54.16473774494619
phi_4_reasoning,phi_4_reasoning,cot,0.16554621848739498,9.639480031248057,27.305460929870605,,53.24423511917229
